path	variant	rule
test/language/expressions/async-function/early-errors-expression-not-simple-assignment-target.js	sloppy	assignment-target.non-simple
test/language/expressions/async-function/early-errors-expression-not-simple-assignment-target.js	strict	assignment-target.non-simple
test/language/expressions/async-function/escaped-async.js	sloppy	statement.missing-semicolon
test/language/expressions/async-function/escaped-async.js	strict	statement.missing-semicolon
test/language/expressions/async-function/named-await-as-binding-identifier-escaped.js	sloppy	async-context.await-reserved-identifier
test/language/expressions/async-function/named-await-as-binding-identifier-escaped.js	strict	async-context.await-reserved-identifier
test/language/expressions/async-function/named-await-as-binding-identifier.js	sloppy	binding.variable-name-expected
test/language/expressions/async-function/named-await-as-binding-identifier.js	strict	binding.variable-name-expected
test/language/expressions/async-function/named-await-as-identifier-reference-escaped.js	sloppy	async-context.await-reserved-identifier
test/language/expressions/async-function/named-await-as-identifier-reference-escaped.js	strict	async-context.await-reserved-identifier
test/language/expressions/async-function/named-await-as-identifier-reference.js	sloppy	expression.unexpected-token
test/language/expressions/async-function/named-await-as-identifier-reference.js	strict	expression.unexpected-token
test/language/expressions/async-function/named-await-as-label-identifier-escaped.js	sloppy	async-context.await-reserved-identifier
test/language/expressions/async-function/named-await-as-label-identifier-escaped.js	strict	async-context.await-reserved-identifier
test/language/expressions/async-function/named-rest-params-trailing-comma-early-error.js	sloppy	syntax.expecting-close-paren
test/language/expressions/async-function/named-rest-params-trailing-comma-early-error.js	strict	syntax.expecting-close-paren
test/language/expressions/async-function/nameless-rest-params-trailing-comma-early-error.js	sloppy	syntax.expecting-close-paren
test/language/expressions/async-function/nameless-rest-params-trailing-comma-early-error.js	strict	syntax.expecting-close-paren
test/language/expressions/async-generator/await-as-binding-identifier-escaped.js	sloppy	async-context.await-reserved-identifier
test/language/expressions/async-generator/await-as-binding-identifier-escaped.js	strict	async-context.await-reserved-identifier
test/language/expressions/async-generator/await-as-binding-identifier.js	sloppy	binding.variable-name-expected
test/language/expressions/async-generator/await-as-binding-identifier.js	strict	binding.variable-name-expected
test/language/expressions/async-generator/await-as-identifier-reference-escaped.js	sloppy	async-context.await-reserved-identifier
test/language/expressions/async-generator/await-as-identifier-reference-escaped.js	strict	async-context.await-reserved-identifier
test/language/expressions/async-generator/await-as-identifier-reference.js	sloppy	expression.unexpected-token
test/language/expressions/async-generator/await-as-identifier-reference.js	strict	expression.unexpected-token
test/language/expressions/async-generator/await-as-label-identifier-escaped.js	sloppy	async-context.await-reserved-identifier
test/language/expressions/async-generator/await-as-label-identifier-escaped.js	strict	async-context.await-reserved-identifier
test/language/expressions/async-generator/dstr/ary-ptrn-rest-init-ary.js	sloppy	function-parameter.rest-default
test/language/expressions/async-generator/dstr/ary-ptrn-rest-init-ary.js	strict	function-parameter.rest-default
test/language/expressions/async-generator/dstr/ary-ptrn-rest-init-id.js	sloppy	function-parameter.rest-not-final
test/language/expressions/async-generator/dstr/ary-ptrn-rest-init-id.js	strict	function-parameter.rest-not-final
test/language/expressions/async-generator/dstr/ary-ptrn-rest-init-obj.js	sloppy	function-parameter.rest-default
test/language/expressions/async-generator/dstr/ary-ptrn-rest-init-obj.js	strict	function-parameter.rest-default
test/language/expressions/async-generator/dstr/ary-ptrn-rest-not-final-ary.js	sloppy	function-parameter.rest-not-final
test/language/expressions/async-generator/dstr/ary-ptrn-rest-not-final-ary.js	strict	function-parameter.rest-not-final
test/language/expressions/async-generator/dstr/ary-ptrn-rest-not-final-id.js	sloppy	function-parameter.rest-not-final
test/language/expressions/async-generator/dstr/ary-ptrn-rest-not-final-id.js	strict	function-parameter.rest-not-final
test/language/expressions/async-generator/dstr/ary-ptrn-rest-not-final-obj.js	sloppy	function-parameter.rest-not-final
test/language/expressions/async-generator/dstr/ary-ptrn-rest-not-final-obj.js	strict	function-parameter.rest-not-final
test/language/expressions/async-generator/dstr/dflt-ary-ptrn-rest-init-ary.js	sloppy	function-parameter.rest-default
test/language/expressions/async-generator/dstr/dflt-ary-ptrn-rest-init-ary.js	strict	function-parameter.rest-default
test/language/expressions/async-generator/dstr/dflt-ary-ptrn-rest-init-id.js	sloppy	function-parameter.rest-not-final
test/language/expressions/async-generator/dstr/dflt-ary-ptrn-rest-init-id.js	strict	function-parameter.rest-not-final
test/language/expressions/async-generator/dstr/dflt-ary-ptrn-rest-init-obj.js	sloppy	function-parameter.rest-default
test/language/expressions/async-generator/dstr/dflt-ary-ptrn-rest-init-obj.js	strict	function-parameter.rest-default
